title,score,year
Zero no Tsukaima,7.2,2006.0
Masuda Kousuke Gekijou: Gag Manga Biyori,7.13,2005.0
Tsuyokiss,6.52,2006.0
Nintama Rantarou,7.1,1993.0
Gun-dou Musashi,5.43,2006.0
NHK ni Youkoso!,8.31,2006.0
Oban Star-Racers,7.51,2006.0
Binbou Shimai Monogatari,6.84,2006.0
Tonagura!,6.66,2006.0
Chocotto Sister,6.74,2006.0
Demashita! Powerpuff Girls Z,6.51,2006.0
Bokura ga Ita,7.23,2006.0
Aquarian Age: Sign for Evolution,6.03,2002.0
Seihou Tenshi Angel Links,5.93,1999.0
Innocent Venus,6.76,2006.0
Saber Marionette J to X,7.27,1998.0
SF Saiyuuki Starzinger,6.94,1978.0
Bishoujo Senshi Sailor Moon SuperS,7.63,1995.0
Night Head Genesis,6.71,2006.0
Yuugo: Koushounin,7.05,2004.0
Project BLUE Chikyuu SOS,6.6,2006.0
"Zone of the Enders: Dolores, I",6.92,2001.0
Erementar Gerad,7.23,2005.0
Fushigi no Umi no Nadia,7.5,1990.0
Saint Seiya,7.76,1986.0
Kyattou Ninden Teyandee,7.03,1990.0
Yoroiden Samurai Troopers,7.07,1988.0
Taiyou no Ko Esteban,7.75,1982.0
Gakkou no Kaidan,7.75,2000.0
Afro Samurai,7.37,2007.0
Urusei Yatsura,7.72,1981.0
Omishi Mahou Gekijou: Risky★Safety,6.56,1999.0
Chikyuu Bouei Kigyou Dai-Guard,7.1,1999.0
Digimon Adventure 02,7.24,2000.0
DT Eightron,6.26,1998.0
Idaten Jump,7.38,2005.0
Hamelin no Violin Hiki,6.54,1996.0
Aoki Densetsu Shoot!,7.37,1993.0
Fushigi na Koala Blinky,6.01,1984.0
Dororon Enma-kun,6.22,1973.0
A.D. Police (TV),5.93,1999.0
Hokuto no Ken 2,7.57,1987.0
Hi no Tori,7.05,2004.0
Taiho Shichau zo (TV),7.53,1996.0
Kyoushoku Soukou Guyver (2005),7.22,2005.0
Watashi no Ashinaga Ojisan,7.7,1990.0
Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,6.68,2004.0
Future GPX Cyber Formula,7.36,1991.0
Macross 7,7.12,1994.0
IGPX: Immortal Grand Prix,6.5,2003.0
IGPX: Immortal Grand Prix (2005) 2nd Season,7.24,2006.0
Lupin III,7.62,1971.0
Lupin III: Part II,7.77,1977.0
Lupin III: Part III,7.29,1984.0
Alexander Senki,5.78,1999.0
Mach GoGoGo,6.69,1967.0
Hyakujuu-Ou GoLion,6.82,1981.0
